Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,75.309998,76.989998,74.629997,75.660004,75.660004,1101800
2017-01-04,76.089996,78.980003,75.889999,78.830002,78.830002,2015300
2017-01-05,78.709999,79.669998,78.339996,79.129997,79.129997,1564000
2017-01-06,79.239998,82.389999,78.900002,82.099998,82.099998,1686600
2017-01-09,81.800003,82.570000,81.300003,82.000000,82.000000,1339200
2017-01-10,82.250000,82.430000,81.139999,81.669998,81.669998,1268800
2017-01-11,81.260002,84.900002,81.260002,83.900002,83.900002,2084700
2017-01-12,83.019997,83.760002,80.910004,83.459999,83.459999,1398000
2017-01-13,83.820000,84.000000,82.629997,83.529999,83.529999,745800
2017-01-17,83.080002,83.250000,81.290001,81.410004,81.410004,879900
2017-01-18,83.010002,84.349998,82.690002,82.849998,82.849998,1466100
2017-01-19,82.959999,83.599998,82.389999,82.699997,82.699997,1302100
2017-01-20,83.120003,84.269997,83.110001,83.400002,83.400002,1251900
2017-01-23,83.839996,83.910004,82.260002,83.250000,83.250000,988800
2017-01-24,83.860001,84.589996,82.139999,83.970001,83.970001,1487800
2017-01-25,84.910004,86.959999,84.489998,86.360001,86.360001,2686400
2017-01-26,92.010002,92.980003,89.410004,89.480003,89.480003,4369400
2017-01-27,89.010002,90.500000,88.709999,90.089996,90.089996,1980900
2017-01-30,89.599998,90.330002,88.010002,90.120003,90.120003,1585700
2017-01-31,90.099998,90.669998,88.949997,90.620003,90.620003,1326900
2017-02-01,91.169998,91.169998,89.389999,89.699997,89.699997,2884200
2017-02-02,89.250000,89.839996,88.230003,88.860001,88.860001,2125400
2017-02-03,89.180000,89.989998,89.120003,89.470001,89.470001,2454800
2017-02-06,89.190002,90.709999,88.629997,90.500000,90.500000,1441700
2017-02-07,90.809998,91.160004,90.349998,90.660004,90.660004,1646900
2017-02-08,89.760002,90.440002,89.389999,90.089996,90.089996,1887300
2017-02-09,90.139999,92.309998,90.010002,92.300003,92.300003,1820000
2017-02-10,92.580002,92.820000,91.699997,92.459999,92.459999,1647400
2017-02-13,92.180000,92.500000,91.500000,91.739998,91.739998,959800
2017-02-14,91.680000,93.300003,91.349998,92.889999,92.889999,1422500
2017-02-15,92.440002,94.720001,92.330002,93.970001,93.970001,1584500
2017-02-16,93.940002,94.190002,91.540001,91.849998,91.849998,1411200
2017-02-17,91.870003,92.970001,91.230003,92.739998,92.739998,1117000
2017-02-21,93.019997,93.510002,92.169998,93.180000,93.180000,617700
2017-02-22,92.709999,93.669998,92.169998,92.980003,92.980003,547700
2017-02-23,93.360001,93.400002,91.410004,92.650002,92.650002,832000
2017-02-24,91.599998,92.389999,90.660004,91.820000,91.820000,1038200
2017-02-27,90.610001,90.610001,86.930000,87.750000,87.750000,5592700
2017-02-28,87.220001,88.279999,86.820000,86.919998,86.919998,2168300
2017-03-01,88.019997,88.989998,86.739998,88.889999,88.889999,3165800
2017-03-02,89.089996,89.139999,86.239998,86.339996,86.339996,1411400
2017-03-03,86.029999,87.190002,86.010002,86.470001,86.470001,1189500
2017-03-06,85.930000,86.769997,85.559998,86.260002,86.260002,1419200
2017-03-07,86.330002,87.690002,86.099998,87.059998,87.059998,1478600
2017-03-08,87.320000,88.269997,86.980003,87.290001,87.290001,794000
2017-03-09,87.309998,88.129997,86.389999,87.830002,87.830002,893200
2017-03-10,88.269997,88.589996,86.900002,88.029999,88.029999,857100
2017-03-13,88.089996,88.860001,87.660004,88.639999,88.639999,1292800
2017-03-14,88.489998,88.610001,86.680000,87.470001,87.470001,1142600
2017-03-15,87.879997,88.769997,87.290001,88.410004,88.410004,1020700
2017-03-16,88.790001,89.370003,88.489998,88.800003,88.800003,953600
2017-03-17,89.050003,89.470001,88.510002,88.709999,88.709999,1006900
2017-03-20,88.849998,88.949997,87.750000,88.110001,88.110001,621300
2017-03-21,88.800003,89.000000,83.790001,83.930000,83.930000,2410100
2017-03-22,83.849998,85.190002,83.459999,85.040001,85.040001,1423400
2017-03-23,85.120003,85.809998,84.129997,84.400002,84.400002,860100
2017-03-24,85.040001,85.690002,84.309998,84.809998,84.809998,818600
2017-03-27,84.239998,85.589996,83.419998,84.870003,84.870003,906200
2017-03-28,85.400002,86.370003,84.830002,86.000000,86.000000,940400
2017-03-29,86.279999,87.879997,86.099998,87.610001,87.610001,1438400
2017-03-30,87.440002,87.699997,86.809998,86.940002,86.940002,771800
2017-03-31,86.820000,88.000000,86.379997,87.470001,87.470001,910600
2017-04-03,87.599998,88.360001,85.410004,86.220001,86.220001,1249800
2017-04-04,86.059998,87.379997,85.199997,85.290001,85.290001,1176800
2017-04-05,85.989998,87.680000,85.410004,85.660004,85.660004,1416300
2017-04-06,85.750000,86.419998,85.099998,86.190002,86.190002,673600
2017-04-07,85.900002,86.570000,85.519997,86.019997,86.019997,767000
2017-04-10,85.949997,86.389999,85.419998,85.529999,85.529999,671400
2017-04-11,85.349998,85.989998,84.820000,85.389999,85.389999,939000
2017-04-12,85.010002,85.709999,84.029999,84.489998,84.489998,873700
2017-04-13,84.370003,85.199997,84.339996,84.639999,84.639999,1131900
2017-04-17,85.040001,86.419998,84.919998,86.410004,86.410004,1118200
2017-04-18,86.000000,87.669998,85.930000,87.599998,87.599998,1381700
2017-04-19,87.959999,88.400002,87.650002,88.150002,88.150002,1194700
2017-04-20,88.489998,88.489998,87.459999,88.260002,88.260002,1352000
2017-04-21,88.800003,89.430000,88.080002,88.320000,88.320000,1076500
2017-04-24,89.669998,89.669998,88.349998,89.419998,89.419998,1312000
2017-04-25,89.919998,90.800003,89.559998,90.239998,90.239998,1417600
2017-04-26,90.430000,91.209999,89.029999,90.919998,90.919998,2814900
2017-04-27,96.279999,96.919998,93.300003,94.330002,94.330002,4690400
2017-04-28,94.300003,95.320000,92.940002,94.480003,94.480003,2342100
2017-05-01,94.639999,95.440002,93.709999,94.930000,94.930000,2741300
2017-05-02,94.820000,95.099998,93.769997,94.959999,94.959999,1170400
2017-05-03,94.690002,95.150002,93.730003,94.110001,94.110001,982400
2017-05-04,94.589996,96.300003,94.150002,96.019997,96.019997,1515800
2017-05-05,96.120003,98.190002,96.120003,98.070000,98.070000,1817900
2017-05-08,97.680000,99.089996,97.150002,97.900002,97.900002,2173100
2017-05-09,98.160004,98.470001,96.959999,97.330002,97.330002,1585900
2017-05-10,97.220001,97.570000,96.360001,96.470001,96.470001,1210000
2017-05-11,96.500000,96.919998,95.500000,96.760002,96.760002,1100200
2017-05-12,96.809998,97.349998,95.989998,96.900002,96.900002,966100
2017-05-15,97.239998,98.610001,96.910004,97.949997,97.949997,892500
2017-05-16,98.760002,100.190002,97.809998,100.180000,100.180000,1846000
2017-05-17,98.699997,99.400002,98.059998,98.550003,98.550003,3629800
2017-05-18,97.879997,99.099998,97.349998,98.970001,98.970001,2842100
2017-05-19,99.500000,100.720001,99.230003,99.300003,99.300003,2131800
2017-05-22,99.809998,102.230003,99.760002,101.699997,101.699997,2087400
2017-05-23,101.370003,101.760002,100.059998,101.699997,101.699997,2338300
2017-05-24,102.529999,103.919998,101.830002,103.000000,103.000000,5772500
2017-05-25,103.699997,105.290001,103.550003,104.519997,104.519997,1770700
2017-05-26,104.000000,106.730003,103.529999,106.029999,106.029999,2988200
2017-05-30,105.419998,106.800003,104.820000,105.360001,105.360001,1612300
2017-05-31,105.510002,105.790001,103.809998,104.650002,104.650002,2230600
2017-06-01,105.180000,106.550003,104.320000,106.510002,106.510002,2626100
2017-06-02,106.559998,107.550003,105.730003,107.300003,107.300003,1464100
2017-06-05,107.389999,108.430000,107.150002,107.430000,107.430000,1598000
2017-06-06,107.080002,108.629997,106.889999,107.870003,107.870003,1517200
2017-06-07,108.000000,108.489998,107.070000,108.190002,108.190002,1934000
